1	2	3	4	5	6	7	8	9	10
LT271100LU	4385014	1597387	433848	46749	24225	17886	20176	15607	18118	9954
LT021461RM	2568280	1690987	236553	23173	18651	24485	107775	32972	30841	8075
LT063974LL	5114801	1996104	490283	38726	32295	20322	28097	20905	35754	9369
LT286644RL	4639487	2278578	527371	44803	22342	17258	34931	23680	18808	9816
LT056024RL	6088242	2544234	771729	53993	24503	16692	23822	17136	10288	15697
LT102131RL	1994083	713639	167828	27579	22253	17332	35248	26749	34656	5597
LT028427LU	3889116	2034995	454754	42478	24071	20757	42174	20788	19965	10076
LT205601LL	712553	416351	76263	8197	4628	6070	21337	7636	5260	1621
LT221782LL	2973638	998885	263842	29248	16313	14532	18074	20515	12205	7865
LT139051LU	6793530	2232552	562213	54932	29885	22509	22589	29145	23709	23610
LT131887LL	3794701	1107138	279080	29938	17984	11232	23557	18342	13741	6944
LT043798LU	1601915	879604	123273	19568	10224	15347	53430	21672	31985	4033
LT100654RL	1936242	799164	173845	16768	10423	11079	20965	12170	22687	4931
LT230142RL	4802704	1924584	506652	45707	27336	18228	18185	15946	27810	15911
LT216500LU	2969677	1712081	302069	37692	25546	17844	36159	29814	50123	8085
LT001098RU	3415875	1170187	345950	25315	19495	10528	11666	13717	23693	5602
LT021748RL	2380676	842526	214871	20994	15198	16807	20518	15689	16758	5200
LT243058RU	4127175	2006605	349169	40967	22335	17217	13661	15039	24533	17794
LT196677RU	3440558	1325720	367027	24786	16156	10780	8943	8467	11815	9025
LT269381RU	2236349	939015	209803	20659	16066	20467	64180	23718	38229	7360
LT222702LL	3978689	1536364	336337	425517	29440	23793	36890	45032	67145	12129
LT178967RL	2361209	1067744	222767	28129	20005	18928	62541	25846	40771	7994
LT022251RL	4176137	1546603	498429	26996	19131	8747	8647	8166	3685	8369
LT282601LL	2336888	872710	252366	19544	11597	7758	6073	9512	8981	6942
LT270821RU	2377574	1217508	231274	26525	21456	12951	16203	16863	34832	7723
LT152653LU	1548194	842842	166270	15312	9604	8562	16650	15052	21131	4333
LT249811RU	3133932	1898001	318003	38301	20392	15697	17646	19813	25342	11244
LT090666LI	1672220	585346	108887	21521	9167	6994	5348	7204	9702	4289
LT274443LU	3358054	2072159	412539	35966	22224	13598	12873	14163	9208	20498
LT059721LU	3367635	805129	262478	27915	14747	14204	10643	13334	9978	6726
LT228772LL	3919487	1639920	271206	34511	23033	37768	46494	32254	31186	11937
LT160089RU	1628995	509222	134699	11796	9194	5994	7918	9479	8148	3527
LT084038RM	4062750	1888379	347352	38640	27183	25289	36437	39317	29373	11991
LT217339RL	2874619	1000203	256353	22890	14488	9166	7989	8740	7148	8643
LT253131RU	2590647	1074883	204743	22824	14909	14471	17537	19197	12739	6906
LT236557RL	2463272	1174925	214697	24514	19864	38258	46459	37333	41683	7018
LT118519RL	2837289	642968	218436	20136	11065	6034	5422	6924	2962	5764
LT123131RL	2673263	791008	254302	30060	13510	9820	8916	9915	4723	9360
LT134776LL	2283469	877642	199339	25228	13690	12505	11851	12988	13694	6210
LT147658RU	2567338	945829	224625	19313	12793	7727	6399	8784	8894	6432
LT199987LU	2288858	982424	225844	30110	19493	22377	31490	22031	22234	6523
LT168094RL	2986701	970864	283794	30673	29698	24601	108589	39659	48502	12095
LT050246RU	2576221	918217	220558	36753	15037	9098	7823	13667	9225	9126
LT046103LU	1486454	681576	133820	12744	14872	31076	80386	28142	28771	4428
LT022562LL	6967124	1900528	665796	67809	35721	23830	14299	26828	27181	18298
LT112597RU	4653125	1677881	353679	43258	27709	19672	14804	18335	21215	12646
LT290677RU	2141002	757182	137686	18473	8861	7766	8046	6456	5602	5177
LT264690LU	2745089	725949	213689	29867	12005	9185	7213	8336	6449	6693
LT100821RL	2643668	2011473	418223	23545	23709	14633	30388	23781	24560	12458
LT184423LL	2665858	734514	292292	16307	10621	6508	4301	6451	6336	5552
LT188161LL	2775933	849804	282794	54381	16542	15213	16094	14927	16802	7910
LT148377LU	2083870	975556	248103	17523	12550	10976	11244	9603	18512	7821
LT089451RU	1006177	1053417	114239	13654	12842	28644	111085	47631	73682	6847
LT070403LL	2010802	852847	206892	16811	12415	14547	28647	14206	33041	5572
LT244824RU	1825985	922968	145387	14495	8590	13677	22354	15149	24382	4349
LT158647RU	2710604	1060193	227327	19354	11304	10183	13244	9799	12767	6694
LT195522RU	3286901	1528810	334303	19156	18433	11837	18238	11236	31245	8646
LT111916LL	857873	493991	111157	8104	10279	7298	25959	20192	28594	3407
LT059865RU	2683849	1442974	269288	35935	21369	17348	37488	29455	32121	10046
LT265662LU	3491019	1559552	391021	21511	16719	9671	8368	11437	13587	8023
LT102695LL	2787215	767567	305682	20461	12428	9001	6297	8852	7859	6162
LT083491LU	3702244	1105689	415873	23950	20873	14978	24795	13698	26369	10545
LT229669RU	2869177	1533224	243365	25178	14791	13855	33047	18506	25554	6092
LT234774LU	2971857	1265099	249773	85971	16678	18929	38399	26861	30338	8246
LT128262RU	901153	1193345	81668	12806	9384	18140	101628	52626	40304	3901
LT107185RU	2389222	1291506	221992	20173	15180	20489	52780	20440	63384	6100
LT144769RL	3136357	1300198	286528	29685	14510	11925	15677	13415	15095	8010
LT019699RL	1568703	983687	152149	15979	11140	16512	54956	27084	37451	5633
LT125521LL-2	2568518	1509826	244965	135402	20914	13498	112535	28371	55267	5264
LT159988RL	3063512	2058423	287752	38897	19401	22980	125845	52479	72534	9951
LT119300LU	2204897	1137599	221193	30295	19304	22134	72124	28597	55377	5852
LT126327LU	4260469	1366082	431863	31488	19821	17311	20680	17009	26586	8498
LT228897LL	1832995	640626	171556	13807	12484	9480	19177	11249	19968	4053
